"Ull ge
MM"		"Volume
C,Metre"	"Weight
Tonne "		"LCG
Metre"	"TCG
Metre"		"VCG
Metre"	"  M
M,-MT"

Tank Hold1BC
	1500	1103,919	1435,09		72,509  	0,007 		5,036	7394,43
	1525	1097,629	1426,92		72,509  	0,007 		5,023	7394,41
	1550	1091,339	1418,74		72,509  	0,007 		5,010	7394,39
	1575	1085,049	1410,56		72,508  	0,007 		4,997	7394,36
	1600	1078,760	1402,39		72,508  	0,007 		4,984	7394,34
	1625	1072,470	1394,21		72,508  	0,007 		4,972	7394,32
	1650	1066,180	1386,03		72,507  	0,007 		4,959	7394,30
	1675	1059,890	1377,86		72,507  	0,007 		4,946	7394,28
	1700	1053,600	1369,68		72,507  	0,007 		4,933	7394,26
	1725	1047,311	1361,50		72,506  	0,007 		4,920	7394,24
	1750	1041,021	1353,33		72,506  	0,007 		4,908	7394,21
	1775	1034,731	1345,15		72,506  	0,007 		4,895	7394,19
	1800	1028,442	1336,97		72,505  	0,007 		4,882	7394,16
	1825	1022,152	1328,80		72,505  	0,007 		4,869	7394,14
	1850	1015,862	1320,62		72,504  	0,007 		4,856	7394,11
	1875	1009,573	1312,44		72,504  	0,007 		4,844	7394,09
	1900	1003,283	1304,27		72,504  	0,007 		4,831	7394,07
	1925	996,993		1296,09		72,503  	0,007 		4,818	7394,04
	1950	990,703		1287,91		72,503  	0,007 		4,805	7394,02
	1975	984,414		1279,74		72,503  	0,007 		4,792	7393,99
	2000	978,124		1271,56		72,502  	0,007 		4,779	7393,96
	2025	971,835		1263,38		72,5021		0,007 		4,766	7393,94
	2050	965,545		1255,21		72,501  	0,007 		4,754	7393,91
	2075	959,255		1247,03		72,501  	0,007 		4,741	7393,88
	2100	952,965		1238,85		72,501  	0,007 		4,728	7393,85
	2125	946,676		1230,68		72,500  	0,007 		4,715	7393,83
	2150	940,386		1222,50		72,500  	0,007 		4,702	7393,80
	2175	934,097		1214,33		72,499  	0,007 		4,689	7393,77
	2200	927,807		1206,15		72,499  	0,007 		4,676	7393,74
	2225	921,517		1197,97		72,498  	0,007 		4,663	7393,71
	2250	915,228		1189,80		72,498  	0,007 		4,651	7393,69
	2275	908,938		1181,62		72,497  	0,007 		4,638	7393,66
	2300	902,649		1173,44		72,4971		0,007 		4,625	7393,63
	2325	896,359		1165,27		72,496  	0,007 		4,612	7393,60
	2350	890,070		1157,09		72,496  	0,007 		4,599	7393,57
	2375	883,780		1148,91		72,496  	0,007 		4,586	7393,54
	2400	877,490		1140,74		72,495  	0,007 		4,573	7393,51
	2425	871,201		1132,56		72,495  	0,007 		4,560	7393,48
	2450	864,911		1124,38		72,494  	0,007 		4,547	7393,45
	2475	858,622		1116,21		72,494  	0,007 		4,534	7393,42
	2500	852,332		1108,03		72,493  	0,007 		4,521	7393,39
	2525	846,043		1099,86		72,492  	0,007 		4,508	7393,36
	2550	839,753		1091,68		72,492  	0,007 		4,495	7393,33
	2575	833,464		1083,50		72,491  	0,007 		4,482	7393,30
	2600	827,174		1075,33		72,491  	0,007 		4,469	7393,28
	2625	820,885		1067,15		72,4901		0,007 		4,456	7393,25
	2650	814,595		1058,97		72,490  	0,007 		4,443	7393,22
	2675	808,306		1050,80		72,489  	0,007 		4,430	7393,19
	2700	802,016		1042,62		72,489  	0,007 		4,417	7393,16
	2725	795,727		1034,44		72,488  	0,007 		4,404	7393,13
	2750	789,438		1026,27		72,487  	0,007 		4,391	7393,10
	2775	783,148		1018,09		72,487  	0,007 		4,378	7393,07
	2800	776,859		1009,92		72,486  	0,007 		4,365	7393,04
	2825	770,569		1001,74		72,485  	0,007 		4,352	7393,01
	2850	764,280		993,56		72,485  	0,007 		4,339	7392,98
	2875	757,990		985,39		72,484  	0,007 		4,326	7392,94
	2900	751,701		977,21		72,483  	0,007 		4,313	7392,91
	2925	745,412		969,04		72,483  	0,007 		4,300	7392,88
	2950	739,122		960,86		72,482  	0,007 		4,287	7392,84
	2975	732,833		952,68		72,4811		0,007 		4,274	7392,81
	3000	726,544		944,51		72,4811		0,007 		4,260	7392,77
	3025	720,254		936,33		72,480  	0,007 		4,247	7392,74
	3050	713,965		928,15		72,479  	0,007 		4,234	7392,70
	3075	707,676		919,98		72,4781		0,007 		4,221	7392,67
	3100	701,386		911,80		72,478  	0,007 		4,208	7392,64
	3125	695,097		903,63		72,477  	0,007 		4,195	7392,60
	3150	688,808		895,45		72,476  	0,007 		4,181	7392,57
	3175	682,518		887,27		72,475  	0,007 		4,168	7392,53
	3200	676,229		879,10		72,474  	0,007 		4,155	7392,50
	3225	669,940		870,92		72,474  	0,007 		4,142	7392,46
	3250	663,651		862,75		72,473  	0,007 		4,128	7392,43
	3275	657,362		854,57		72,472  	0,007 		4,115	7392,40
	3300	651,072		846,39		72,471  	0,007 		4,102	7392,36
	3325	644,783		838,22		72,4701		0,007 		4,089	7392,33
	3350	638,494		830,04		72,469  	0,007 		4,075	7392,29
	3375	632,205		821,87		72,4681		0,007 		4,062	7392,26
	3400	625,915		813,69		72,467  	0,007 		4,049	7392,22
	3425	619,626		805,51		72,466  	0,007 		4,035	7392,19
	3450	613,337		797,34		72,4651		0,007 		4,022	7392,15
	3475	607,048		789,16		72,4641		0,007 		4,008	7392,12
	3500	600,759		780,99		72,463  	0,007 		3,995	7392,09
	3525	594,470		772,81		72,4621		0,007 		3,981	7392,05
	3550	588,181		764,63		72,461  	0,007 		3,968	7392,02
	3575	581,891		756,46		72,460  	0,007 		3,955	7391,98
	3600	575,602		748,28		72,459  	0,007 		3,941	7391,95
	3625	569,313		740,11		72,458  	0,007 		3,927	7391,92
	3650	563,024		731,93		72,4561		0,007 		3,914	7391,88
	3675	556,735		723,76		72,455  	0,007 		3,900	7391,85
	3700	550,446		715,58		72,454  	0,007 		3,887	7391,81
	3725	544,157		707,40		72,453  	0,007 		3,873	7391,78
	3750	537,868		699,23		72,4511		0,007 		3,859	7391,74
	3775	531,579		691,05		72,450  	0,007 		3,846	7391,71
	3800	525,291		682,88		72,449  	0,007 		3,832	7383,25
